freq,unit,age,sex,geo,value,year
A,YR,Y_LT1,F,AT34,84.7,2022
A,YR,Y_LT1,F,AT34,85.7,2023
A,YR,Y_LT1,F,BE10,82.4,2012
A,YR,Y_LT1,F,BE10,83,2013
A,YR,Y_LT1,F,BE10,83.7,2014
A,YR,Y_LT1,F,BE10,83.5,2015
A,YR,Y_LT1,F,BE10,84,2016
A,YR,Y_LT1,F,BE10,83.8,2017
A,YR,Y_LT1,F,BE10,83.7,2018
A,YR,Y_LT1,F,BE10,83.9,2019
A,YR,Y_LT1,F,BE10,82,2020
A,YR,Y_LT1,F,BE10,83.9,2021
A,YR,Y_LT1,F,BE10,83.9,2022
A,YR,Y_LT1,F,BE10,84.3,2023
A,YR,Y_LT1,F,BE21,83.4,2012
A,YR,Y_LT1,F,BE21,83.7,2013
A,YR,Y_LT1,F,BE21,84.3,2014
A,YR,Y_LT1,F,BE21,83.9,2015
A,YR,Y_LT1,F,BE21,84.5,2016
A,YR,Y_LT1,F,BE21,84.4,2017
A,YR,Y_LT1,F,BE21,84.3,2018
A,YR,Y_LT1,F,BE21,84.7,2019
A,YR,Y_LT1,F,BE21,83.9,2020
A,YR,Y_LT1,F,BE21,84.9,2021
A,YR,Y_LT1,F,BE21,84.6,2022
A,YR,Y_LT1,F,BE21,85.2,2023
A,YR,Y_LT1,F,BE22,83.9,2012
A,YR,Y_LT1,F,BE22,84.3,2013
A,YR,Y_LT1,F,BE22,85,2014
A,YR,Y_LT1,F,BE22,84.4,2015
A,YR,Y_LT1,F,BE22,85.1,2016
A,YR,Y_LT1,F,BE22,85,2017
A,YR,Y_LT1,F,BE22,85.1,2018
A,YR,Y_LT1,F,BE22,85.3,2019
A,YR,Y_LT1,F,BE22,84.2,2020
A,YR,Y_LT1,F,BE22,85.7,2021
A,YR,Y_LT1,F,BE22,84.5,2022
A,YR,Y_LT1,F,BE22,85.5,2023
A,YR,Y_LT1,F,BE23,83.6,2012
A,YR,Y_LT1,F,BE23,83.7,2013
A,YR,Y_LT1,F,BE23,84.8,2014
A,YR,Y_LT1,F,BE23,83.9,2015
A,YR,Y_LT1,F,BE23,84.7,2016
A,YR,Y_LT1,F,BE23,84.6,2017
A,YR,Y_LT1,F,BE23,84.6,2018
A,YR,Y_LT1,F,BE23,84.9,2019
A,YR,Y_LT1,F,BE23,83.9,2020
A,YR,Y_LT1,F,BE23,85.3,2021
A,YR,Y_LT1,F,BE23,84.6,2022
A,YR,Y_LT1,F,BE23,84.9,2023
A,YR,Y_LT1,F,BE24,84.3,2012
A,YR,Y_LT1,F,BE24,84.4,2013
A,YR,Y_LT1,F,BE24,85,2014
A,YR,Y_LT1,F,BE24,85,2015
A,YR,Y_LT1,F,BE24,85.3,2016
A,YR,Y_LT1,F,BE24,85.3,2017
A,YR,Y_LT1,F,BE24,85.1,2018
A,YR,Y_LT1,F,BE24,85.3,2019
A,YR,Y_LT1,F,BE24,84.6,2020
A,YR,Y_LT1,F,BE24,86.1,2021
A,YR,Y_LT1,F,BE24,85.2,2022
A,YR,Y_LT1,F,BE24,85.9,2023
A,YR,Y_LT1,F,BE25,84.3,2012
A,YR,Y_LT1,F,BE25,84.3,2013
A,YR,Y_LT1,F,BE25,85,2014
A,YR,Y_LT1,F,BE25,84.4,2015
A,YR,Y_LT1,F,BE25,85.2,2016
A,YR,Y_LT1,F,BE25,84.7,2017
A,YR,Y_LT1,F,BE25,85,2018
A,YR,Y_LT1,F,BE25,85.7,2019
A,YR,Y_LT1,F,BE25,84.1,2020
A,YR,Y_LT1,F,BE25,85.4,2021
A,YR,Y_LT1,F,BE25,84.8,2022
A,YR,Y_LT1,F,BE25,85.4,2023
A,YR,Y_LT1,F,BE31,83.6,2012
A,YR,Y_LT1,F,BE31,84.3,2013
A,YR,Y_LT1,F,BE31,84.2,2014
A,YR,Y_LT1,F,BE31,83.6,2015
A,YR,Y_LT1,F,BE31,84.3,2016
A,YR,Y_LT1,F,BE31,84.5,2017
A,YR,Y_LT1,F,BE31,84.6,2018
A,YR,Y_LT1,F,BE31,85.1,2019
A,YR,Y_LT1,F,BE31,84.2,2020
A,YR,Y_LT1,F,BE31,85,2021
