nuts2_id,year,pop
AT34,2023,812790
BE10,2000,1918636
BE10,2001,1928810
BE10,2002,1956768
BE10,2003,1984082
BE10,2004,1999798
BE10,2005,2013498
BE10,2006,2037608
BE10,2007,2062430
BE10,2008,2096982
BE10,2009,2137064
BE10,2010,2179076
BE10,2011,2273556
BE10,2012,2302634
BE10,2013,2330416
BE10,2014,2345502
BE10,2015,2368202
BE10,2016,2402570
BE10,2017,2398190
BE10,2018,2410984
BE10,2019,2430578
BE10,2020,2446728
BE10,2021,2452658
BE10,2022,2457310
BE10,2023,2506356
BE21,2000,3287944
BE21,2001,3291304
BE21,2002,3304900
BE21,2003,3322238
BE21,2004,3337624
BE21,2005,3353716
BE21,2006,3376986
BE21,2007,3401140
BE21,2008,3431414
BE21,2009,3462348
BE21,2010,3489724
BE21,2011,3546534
BE21,2012,3574980
BE21,2013,3597210
BE21,2014,3613268
BE21,2015,3634066
BE21,2016,3657854
BE21,2017,3677726
BE21,2018,3699046
BE21,2019,3720940
BE21,2020,3746190
BE21,2021,3758636
BE21,2022,3781254
BE21,2023,3831842
BE22,2000,1582356
BE22,2001,1589570
BE22,2002,1597166
BE22,2003,1605056
BE22,2004,1611572
BE22,2005,1619884
BE22,2006,1629316
BE22,2007,1640544
BE22,2008,1653380
BE22,2009,1666320
BE22,2010,1677010
BE22,2011,1693702
BE22,2012,1703116
BE22,2013,1710426
BE22,2014,1715688
BE22,2015,1722760
BE22,2016,1733940
BE22,2017,1739328
BE22,2018,1745478
BE22,2019,1751684
BE22,2020,1761204
BE22,2021,1766456
BE22,2022,1777826
BE22,2023,1797238
BE23,2000,2723246
BE23,2001,2727344
BE23,2002,2733304
BE23,2003,2740272
BE23,2004,2747440
BE23,2005,2760144
BE23,2006,2778900
BE23,2007,2796506
BE23,2008,2816968
BE23,2009,2840830
BE23,2010,2864652
BE23,2011,2897856
BE23,2012,2914856
BE23,2013,2927228
BE23,2014,2942252
BE23,2015,2958098
BE23,2016,2978168
BE23,2017,2996966
BE23,2018,3012464
BE23,2019,3032568
BE23,2020,3052972
BE23,2021,3067752
BE23,2022,3090938
BE23,2023,3126692
BE24,2000,2029408
BE24,2001,2036806
BE24,2002,2045642
BE24,2003,2055678
BE24,2004,2063808
BE24,2005,2075572
BE24,2006,2088266
BE24,2007,2104934
BE24,2008,2120464
BE24,2009,2137676
BE24,2010,2153848
BE24,2011,2177384
BE24,2012,2192568
BE24,2013,2205814
BE24,2014,2216816
BE24,2015,2229180
BE24,2016,2245200
BE24,2017,2261288
BE24,2018,2277092
BE24,2019,2293286
BE24,2020,2312940
BE24,2021,2326372
BE24,2022,2347912
BE24,2023,2376158
BE25,2000,2257548
BE25,2001,2260080
BE25,2002,2264550
BE25,2003,2267862
BE25,2004,2271604
BE25,2005,2277006
BE25,2006,2283732
BE25,2007,2291756
BE25,2008,2300974
BE25,2009,2310580
BE25,2010,2318732
BE25,2011,2336004
BE25,2012,2345590
BE25,2013,2351806
BE25,2014,2355870
BE25,2015,2361914
BE25,2016,2368836
BE25,2017,2376814
BE25,2018,2384508
BE25,2019,2393990
BE25,2020,2404704
BE25,2021,2410202
BE25,2022,2421644
BE25,2023,2444008
BE31,2000,699768
BE31,2001,704036
BE31,2002,710414
BE31,2003,716024
BE31,2004,721434
BE31,2005,727552
BE31,2006,732962
BE31,2007,740920
BE31,2008,746984
BE31,2009,751290
BE31,2010,759030
BE31,2011,767296
BE31,2012,773366
BE31,2013,778616
BE31,2014,783218
BE31,2015,788688
BE31,2016,795490
BE31,2017,799470
BE31,2018,803016
BE31,2019,808540
BE31,2020,813588
BE31,2021,816650
BE31,2022,821238
BE31,2023,827918
BE32,2000,2558934
BE32,2001,2559646
BE32,2002,2562084
BE32,2003,2563412
BE32,2004,2566400
BE32,2005,2572550
BE32,2006,2580158
BE32,2007,2589688
BE32,2008,2600194
BE32,2009,2608872
BE32,2010,2619760
BE32,2011,2639490
BE32,2012,2651638
BE32,2013,2662910
BE32,2014,2668846
BE32,2015,2675560
BE32,2016,2682534
BE32,2017,2684106
BE32,2018,2687512
BE32,2019,2692164
BE32,2020,2700590
BE32,2021,2699722
BE32,2022,2709334
BE32,2023,2722052
BE33,2000,2038884
BE33,2001,2040084
BE33,2002,2048260
BE33,2003,2051684
BE33,2004,2059210
BE33,2005,2068048
BE33,2006,2080594
BE33,2007,2094828
BE33,2008,2107444
BE33,2009,2120070
BE33,2010,2135370
BE33,2011,2164272
BE33,2012,2176148
BE33,2013,2186382
BE33,2014,2191322
BE33,2015,2197806
BE33,2016,2206980
BE33,2017,2212078
BE33,2018,2216742
BE33,2019,2220136
BE33,2020,2227886
BE33,2021,2226648
BE33,2022,2232174
BE33,2023,2244720
BE34,2000,493640
BE34,2001,497500
BE34,2002,500812
BE34,2003,504590
BE34,2004,508240
BE34,2005,512008
BE34,2006,517094
BE34,2007,522356
BE34,2008,528168
BE34,2009,533900
BE34,2010,538046
BE34,2011,546410
BE34,2012,551426
BE34,2013,555380
BE34,2014,556438
BE34,2015,560522
BE34,2016,566514
BE34,2017,569234
BE34,2018,570020
BE34,2019,573370
BE34,2020,579212
BE34,2021,583460
BE34,2022,588800
BE34,2023,595308
BE35,2000,887806
BE35,2001,891648
BE35,2002,895550
BE35,2003,900790
BE35,2004,905712
BE35,2005,911726
BE35,2006,917148
BE35,2007,923966
BE35,2008,930760
BE35,2009,937210
BE35,2010,944562
BE35,2011,958772
BE35,2012,965456
BE35,2013,969760
BE35,2014,972460
BE35,2015,977752
BE35,2016,984148
BE35,2017,988254
BE35,2018,990316
BE35,2019,993782
BE35,2020,998866
BE35,2021,1000978
BE35,2022,1006816
BE35,2023,1013300
BG31,1995,2287924
BG31,2000,2162514
BG31,2001,2134360
BG31,2002,2030606
BG31,2003,1987556
BG31,2004,1947106
BG31,2005,1908790
BG31,2006,1869510
BG31,2007,1832616
BG31,2008,1796742
BG31,2009,1763146
BG31,2010,1730664
BG31,2011,1696460
BG31,2012,1673202
BG31,2013,1633754
BG31,2014,1602686
BG31,2015,1570376
BG31,2016,1537934
BG31,2017,1506118
BG31,2018,1473576
BG31,2019,1441508
BG31,2020,1409152
BG31,2021,1392656
BG31,2022,1364072
BG31,2023,1343004
BG32,1995,2179774
BG32,2000,2095340
BG32,2001,2080234
BG32,2002,1965000
BG32,2003,1933938
BG32,2004,1904050
BG32,2005,1876146
BG32,2006,1847286
BG32,2007,1819924
BG32,2008,1794150
BG32,2009,1769714
BG32,2010,1747602
BG32,2011,1724240
BG32,2012,1706936
BG32,2013,1660502
BG32,2014,1628678
BG32,2015,1595930
BG32,2016,1562844
BG32,2017,1530172
BG32,2018,1496616
BG32,2019,1462554
BG32,2020,1428150
BG32,2021,1410482
BG32,2022,1389944
BG32,2023,1372668
BG33,1995,2115314
BG33,2000,2052038
BG33,2001,2035696
BG33,2002,2027746
BG33,2003,2015158
BG33,2004,2003294
BG33,2005,1993066
BG33,2006,1982434
BG33,2007,1972250
BG33,2008,1962286
BG33,2009,1952124
BG33,2010,1943864
BG33,2011,1932656
BG33,2012,1923930
BG33,2013,1877188
BG33,2014,1849694
BG33,2015,1821398
BG33,2016,1791960
BG33,2017,1763026
BG33,2018,1733296
BG33,2019,1702158
BG33,2020,1670864
BG33,2021,1664652
BG33,2022,1655280
BG33,2023,1647768
BG34,1995,2490104
BG34,2000,2419372
BG34,2001,2406738
BG34,2002,2315422
BG34,2003,2294194
BG34,2004,2274056
BG34,2005,2256204
BG34,2006,2238100
BG34,2007,2220688
BG34,2008,2204198
BG34,2009,2188506
BG34,2010,2174362
BG34,2011,2157194
BG34,2012,2145700
BG34,2013,2112454
BG34,2014,2087792
BG34,2015,2062496
BG34,2016,2035900
BG34,2017,2009896
BG34,2018,1982746
BG34,2019,1954964
BG34,2020,1927308
BG34,2021,1918662
BG34,2022,1907282
BG34,2023,1896820
BG41,1995,4331226
BG41,2000,4285400
BG41,2001,4286220
BG41,2002,4214528
BG41,2003,4226646
BG41,2004,4236820
BG41,2005,4244210
BG41,2006,4248898
BG41,2007,4252364
BG41,2008,4254996
BG41,2009,4259710
BG41,2010,4265268
BG41,2011,4267462
BG41,2012,4262466
BG41,2013,4227434
BG41,2014,4206160
BG41,2015,4184750
BG41,2016,4161796
BG41,2017,4139600
BG41,2018,4116896
BG41,2019,4093352
BG41,2020,4068834
BG41,2021,4049954
BG41,2022,4037000
BG41,2023,4033108
BG42,1995,3450494
BG42,2000,3367088
BG42,2001,3355688
BG42,2002,3184328
BG42,2003,3153520
BG42,2004,3124968
BG42,2005,3098730
BG42,2006,3072514
BG42,2007,3047504
BG42,2008,3023632
BG42,2009,3001038
BG42,2010,2981772
BG42,2011,2960850
BG42,2012,2942214
BG42,2013,2893780
BG42,2014,2859896
BG42,2015,2824430
BG42,2016,2787084
BG42,2017,2750224
BG42,2018,2711706
BG42,2019,2673818
BG42,2020,2634242
BG42,2021,2627828
BG42,2022,2611390
BG42,2023,2602052
CH01,1995,2526278
CH01,1996,2544868
CH01,1997,2546748
CH01,1998,2556348
CH01,1999,2569962
CH01,2000,2589948
CH01,2001,2610568
CH01,2002,2634034
CH01,2003,2662262
CH01,2004,2696212
CH01,2005,2725508
CH01,2006,2752612
CH01,2007,2779976
CH01,2008,2817592
CH01,2009,2875184
CH01,2010,2924420
CH01,2011,2967360
CH01,2012,3007000
CH01,2013,3038378
CH01,2014,3091634
CH01,2015,3141188
CH01,2016,3187678
CH01,2017,3227044
CH01,2018,3259682
CH01,2019,3285160
CH01,2020,3309502
CH01,2021,3339216
CH01,2022,3371250
CH01,2023,3403654
CH02,1995,3268934
CH02,1996,3280428
CH02,1997,3287502
CH02,1998,3289054
CH02,1999,3302538
CH02,2000,3312218
CH02,2001,3317150
CH02,2002,3334140
CH02,2003,3350222
CH02,2004,3363062
CH02,2005,3380270
CH02,2006,3393018
CH02,2007,3407932
CH02,2008,3431600
CH02,2009,3460824
