sex,n,mean,sd,p01,p05,p50,p95,p99,min,max
T,5507,0.182220961200896,0.535091819638395,-1.59999999999999,-0.600000000000009,0.200000000000003,0.900000000000006,1.8,-2.9595,3.272
M,5507,0.214231311663943,0.572414869804634,-1.60000000000001,-0.700000000000003,0.200000000000003,1,1.84934999999996,-3.319,3.37199999999999
F,5507,0.149762877549785,0.565119947480469,-1.59999999999999,-0.700000000000003,0.199999999999989,1,1.7,-3.176,3.38599999999999
