metric,estimate,se,ci_lo,ci_hi
pre_2020_slope_pctpy,-0.349161873231492,0.274906216013334,-0.887978056617627,0.189654310154642
post_2020_slope_pctpy,0.589206063936578,1.67694793744307,-2.69761189345184,3.876024021325
delta_slope_pctpy,0.938367937168071,1.6018073004939,-2.20117437179997,4.07791024613611
