sex,baseline_type,mean,sd,p10,p50,p90,min,max
T,baseline_unw,0.00000000000000876307951396619,2.80920974532192,-4.73142222222223,0.913973799126623,2.8003595160361,-10.3860262008734,5.31397379912663
M,baseline_unw,0.00000000000000229658125764171,3.27057660889114,-5.56525088720182,1.13761061946907,3.13045685279185,-11.6490476190476,5.7135371179039
F,baseline_unw,-0.00000000000000475784241048555,2.42338550531806,-3.8322147651006,0.460952380952378,2.67857142857146,-10.124017467249,5.37598253275102
