term,estimate,std.error,statistic,p.value,year_rel,ci_lo,ci_hi
post_year::-5:border,-0.021273441562475848,0.053310440076497455,-0.39904832021550873,0.6902344058996844,-5,-0.12576190411241084,0.18352394503539676
post_year::-4:border,0.0015546963347355947,0.05167657484563993,0.03008512734018338,0.9760257128562109,-4,-0.09973139036271866,0.20007542626174593
post_year::-3:border,0.02345604984961691,0.04060123316680002,0.5777176706247712,0.5640298798141836,-3,-0.05612236715731113,0.17942974718319585
post_year::-2:border,0.03837166120795413,0.03743068226841627,1.025139240925134,0.3063934911189227,-2,-0.03499247603814176,0.18216537021030205
post_year::-1:border,0.006087214630607823,0.034134384306429295,0.17833087528288247,0.858622882781518,-1,-0.060816178609993596,0.13721786538218658
post_year::1:border,-0.0679796073713903,0.16643359045889697,-0.40844884247196955,0.6833309163057103,1,-0.39418944467082834,0.5713916737355083
post_year::2:border,-0.13323741048535073,0.1406621754548804,-0.9472156253412184,0.34454060213755444,2,-0.40893527437691635,0.40713040274211776
post_year::3:border,0.07525185260595063,0.0432852167715027,1.7385116263410632,0.08348257480732806,3,-0.009587172266194668,0.2415363413553554
post_year::4:border,0.183463546051544,0.06624005851722829,2.7696766904852175,0.006077540350803893,4,0.053633031357776556,0.43793135485132817
