"term","estimate","std_error","statistic","p_value"
"(Intercept)",-3.31817129700565,0.0521015445374123,-63.686620549665,0.00000000000000000000000000000441459684349815
"year_c",-0.00349161873231492,0.00274906216013334,-1.27011268895628,0.215293915056028
"post",0.00938367937168071,0.016018073004939,0.58581824223097,0.563048843359588
